freqA,mn_rewardA,mn_rewardB
0.05,0.094021232660090964,0.094739228665645533
0.9,0.09221998698983698,0.094120450682129417
0.28,0.098502736999170781,0.098162300976632769
0.21,0.092081710891177448,0.09216989507445851
0.31,0.095165724424698575,0.094267085229579564
0.51,0.090033756246749169,0.089226934240177982
0.6,0.095874987473912335,0.099174030752873912
0.97,0.093311177076133137,0.096332987876959236
0.35,0.091259196360068823,0.090968663048785189
0.5,0.090939617065824208,0.0925093068623143
0.85,0.094101399904027341,0.094049974675995893
0.33,0.089756015631932473,0.0899496442624614
0.24,0.091220313424448307,0.092861070471676577
0.47,0.093948614658089014,0.091931026333735635
0.94,0.093689372439413526,0.094722434345315729
0.43,0.0918662363377495,0.090926931675594777
0.48,0.096409743221707783,0.095008219126588536
0.03,0.099775988203935781,0.095452773865057058
0.72,0.092161397090438926,0.09082902350372829
0.53,0.088735826158749573,0.089075952425130125
0.71,0.092880101248559166,0.093927614896880215
0.42,0.093205091408363847,0.09406224674813074
0.23,0.09319839130553699,0.0931506146736098
0.11,0.092620395322983273,0.094003717797921785
0.57,0.09530339999064967,0.094273375461763689
0.25,0.089485283759470124,0.088640821237606415
0.62,0.095836101776345009,0.097398965810119073
0.86,0.094519414865960133,0.095510219367332935
0.39,0.090935568922919457,0.090033617280910333
1,0.092078953327516977,0.125
0.49,0.0956378096024635,0.0951843916764172
0.7,0.094267908439244749,0.093805116998241067
0.67,0.0910221529825148,0.091070016053087288
0.29,0.094288020341846246,0.09510648587237909
0.98,0.089039860247570407,0.084124546216140739
0.59,0.09267379771264049,0.093247366939333193
0.84,0.090577809435271536,0.090645576700980793
0.19,0.090240091749925935,0.090700401635534708
0.16,0.093014269348525885,0.093485193350954177
0.46,0.088198501902020388,0.089181642309868622
0.18,0.093486400402826422,0.089153945553313144
0.79,0.092555261939494149,0.095708832883754771
0.73,0.093119075615527111,0.094606366786555443
0.89,0.09380668910056994,0.0974132181331365
0.76,0.093632484370367308,0.09016123265909945
0.44,0.090198363143148982,0.09076776711824304
0.88,0.094380417744091866,0.0942665537968997
0.82,0.088309458506283592,0.089973292657924725
0.41,0.097044825203241952,0.095992922307739911
0.87,0.09050383801478043,0.091409400772053742
0.32,0.092433348307331631,0.0918481959688696
0.37,0.0945405616382098,0.094698937732555652
0.08,0.094281894827035043,0.093279194835208273
0.12,0.090457772678747078,0.091095160156625263
0.83,0.08853403003327881,0.09019665067364542
0.01,0.091294387170675839,0.0976065855557958
0.38,0.092879452178129235,0.092684389976639289
0.02,0.089684773430903461,0.090580932404135991
0.96,0.091638119074396687,0.095406808768470727
0.68,0.093310273936728333,0.093184435295799312
0.61,0.08864697376944837,0.08808427570970162
0.15,0.094402601377548273,0.095034998385884764
0.75,0.090956402559699334,0.091116828819045023
0.54,0.095817650438991361,0.095962452754163971
0.04,0.098604596444889739,0.09081247045998235
0.77,0.093351512056097888,0.0941622862957382
0.56,0.0877426601509621,0.088807852682800364
0.63,0.090451012250530052,0.090030900512638887
0.8,0.090419953176184842,0.088510249013420639
0.64,0.093029169447704868,0.0928115541130071
0.65,0.094912707535308227,0.0912143229130231
0.95,0.098521653101155862,0.10588528738280148
0.52,0.093982449970030468,0.094605406896636809
0.09,0.09020083360169287,0.09088478287046857
0.13,0.090135661237114986,0.0911147154093804
0.55,0.089837300862463582,0.0885597262560744
0.74,0.098068187680436139,0.097345226995728826
0.14,0.091314529927924562,0.092357740016560608
0.69,0.093732569803578067,0.095400719187600083
0.1,0.0933180217995526,0.08928820377478433
0.34,0.095493260101033775,0.095748519265446377
0.07,0.091966125709845012,0.092020721683252218
0.26,0.094498721674679056,0.095552325969153792
0.4,0.089822668034274189,0.088746185796636415
0.58,0.095936892725745473,0.096825354817931877
0.36,0.0953078688153165,0.093935421650525722
0.45,0.094064855346427848,0.094490503420265451
0,0.2,0.092921276411389017
0.91,0.095363522124524425,0.098409116048098516
0.78,0.094746219096914511,0.095591632406999819
0.93,0.095037068797707472,0.0963690866060498
0.17,0.094642016301947185,0.09446796037270877
0.3,0.093359468273445156,0.092042900795870464
0.2,0.092720345211872432,0.091388107029140811
0.81,0.089937834225060978,0.0905615654848639
0.22,0.089766459869105919,0.091062891909694813
0.06,0.10126116904726257,0.096854530590607266
0.92,0.091498764830543283,0.0925636193456437
0.27,0.088059552077351111,0.090547749328500071
0.99,0.0992929378640006,0.085201054713249832
0.66,0.098474293892872322,0.095568992150269191
