freqA,mn_rewardA,mn_rewardB
0.75,0.0674186181676399,0.066992298603604367
0.67,0.066951296627209125,0.0669417423226355
0.38,0.070018225736131492,0.070297742384829234
1,0.067432015804699957,0.125
0.7,0.070804681471209344,0.0714382356802861
0.36,0.071345611668530665,0.072016179738586539
0.73,0.071163766298623157,0.071596754742373966
0.07,0.0727850918988647,0.073559420854536109
0.71,0.068772228824121512,0.068605750892922618
0.57,0.0687179201252003,0.068697719764728549
0.97,0.079685381869259109,0.077126195170641593
0.2,0.067434389514095888,0.06822430386112259
0.05,0.076275608005003118,0.075257403766805869
0.63,0.069501456244489154,0.070235678396454879
0.22,0.068515931589811008,0.0697661453542953
0.77,0.073360533646236986,0.073678495781895378
0.79,0.073876192610806787,0.073691882736932363
0.94,0.073378740402382542,0.07421920966559041
0.37,0.077121091037466963,0.077787256891775347
0.54,0.073217476798365086,0.0735069821961621
0.89,0.070924983448055617,0.069224403065658968
0.68,0.075056976375753634,0.075873062057944821
0.11,0.070116236579589791,0.070727311907415866
0.16,0.077191832461028356,0.077305651538412692
0.32,0.074764016066343142,0.075195051363092555
0.82,0.07106393687804631,0.071056203918321487
0.26,0.07700427382348729,0.077289396815267641
0.12,0.074922649313955481,0.075557096552760925
0.84,0.075472769247834276,0.076311879153671949
0.23,0.073850793590732447,0.073970580822000864
0.51,0.0820987696457923,0.082567825016475777
0.95,0.075293377867103009,0.076107964065864481
0.08,0.0706312935890923,0.072131420326220122
0.6,0.067484288701472189,0.067474094024633668
0.9,0.071321260007934581,0.070224481951115345
0.45,0.072300351524096043,0.0715837023196227
0.78,0.070101389869289071,0.070697875711054209
0.35,0.074202299476179567,0.074586526810892256
0.15,0.073886123116838232,0.073679769174641155
0.48,0.0761304391285711,0.076941252953625486
0.86,0.06893880033332761,0.068721215545147873
0.13,0.068811966898249727,0.070202602815975193
0.64,0.071785009029918717,0.071642549654142532
0.42,0.07251614300308297,0.071763815887379831
0.03,0.07916147844096684,0.080027851026717708
0.43,0.06891392058365875,0.068715076946141415
0.28,0.076404431441957146,0.077245715908803761
0.83,0.06827076569550708,0.068099122169466092
0.04,0.078350896899145678,0.077051390892267826
0.8,0.067869735832678371,0.067711932339832623
0.56,0.070248101289164061,0.071051752962768319
0.3,0.070899104685439848,0.071640039605516084
0.27,0.071707908830386052,0.071479253743973084
0.65,0.074062867954020978,0.075104765353920411
0.53,0.073408550576081852,0.073836406608299751
0.96,0.076816684068070643,0.077700351721228217
0.59,0.076202250707820274,0.0764086891618974
0.47,0.0736706484105053,0.073647694390676616
0.46,0.072685905406291759,0.072319427939502356
0.85,0.072502830933636964,0.072215368033697325
0.31,0.072121810639402109,0.072509030202339328
0.74,0.076131778487182514,0.076465390813296147
0.81,0.075342927907017992,0.075422516056519076
0.49,0.085303908352642024,0.085701902957849824
0.09,0.0706721025909871,0.071914835465997418
0.1,0.070695455089891945,0.071109480515134757
0.34,0.080826059714113122,0.080687157135832452
0.02,0.085352509870276372,0.0856590228996984
0.99,0.099292937864000883,0.085201054713249832
0.18,0.071244900310602211,0.071316815639419884
0.69,0.072038624024923587,0.072541694269033369
0,0.2,0.067669444513762708
0.93,0.072715050724120142,0.072170037181593566
0.55,0.070869552037330086,0.071948181058439864
0.5,0.066436093788149159,0.066884271188345792
0.06,0.073298014360102276,0.074266130563242189
0.92,0.072082374531001539,0.072450295452962485
0.4,0.06721464028353076,0.067702949795102177
0.25,0.066840696048822729,0.0675928353849032
0.21,0.072874035341213075,0.073651466691780382
0.17,0.067566766052336011,0.068385392844866721
0.91,0.072005684640536041,0.071369511484190309
0.29,0.068204495935317688,0.068992171377499162
0.88,0.070335389110365826,0.068836954660830382
0.14,0.068826674808087518,0.069140101483661773
0.62,0.073042576809561485,0.073152946496761184
0.33,0.066194973479399025,0.067180137888530861
0.44,0.07001289559868816,0.071049652210467523
0.19,0.075598139018154528,0.075290742699531843
0.24,0.075349739033316473,0.0757635161722884
0.58,0.072474151739364473,0.073581316478629533
0.61,0.075796470488418657,0.0759952692593223
0.87,0.074006144456138831,0.074636807688181539
0.76,0.075030679044757714,0.074840803377574441
0.41,0.075255069453094653,0.075267731754778772
0.66,0.083552718756553568,0.082867508455838831
0.52,0.075674756616819314,0.075662442706984884
0.72,0.075873772884543986,0.077104151468268087
0.39,0.075671699475091378,0.075882464778351477
0.98,0.085085813645289665,0.087597503900156026
0.01,0.091294387170675811,0.0976065855557959
