freqA,mn_rewardA,mn_rewardB
71,0.09514598618027581,0.095277898156815241
15,0.0937687255706918,0.094119030130247819
59,0.093330678388777871,0.094050562447127131
48,0.096686619863734238,0.094203378485070252
38,0.092527299316770881,0.091024145763747552
100,0.092631850314799841,0.091563786008230452
61,0.089374632303797052,0.090325560181420045
13,0.088469122467739011,0.089618725512672581
14,0.088399029285989777,0.089537361575335081
5,0.10152044206386865,0.099931289971204817
90,0.095611767929845021,0.096382320818062292
74,0.091217918372749243,0.093280907486869388
72,0.092076873674503137,0.093610728779827429
86,0.093339657708454107,0.093826171942460249
35,0.095511286186672872,0.093543519555758917
21,0.095485594258903378,0.095311023586265892
65,0.094371964033066122,0.09051762756584994
10,0.0924061093354898,0.089777205751500361
22,0.0876490990850106,0.087909725852610837
0,,0.092851642485778291
95,0.092150071459490862,0.095393529099564514
92,0.096978596525487487,0.096990366899160727
93,0.094315344207694524,0.096233585508849778
88,0.092887701360831965,0.0943201624225747
80,0.091853355333498365,0.093451192155460688
46,0.093746084971580379,0.09434797195517429
43,0.095585929438037218,0.094578081149396934
68,0.092869983773033724,0.092736860479078462
30,0.096582850399732967,0.094281329519610352
58,0.093068463367470836,0.092855351891514559
19,0.094594489509322408,0.093308974320734178
18,0.090401189492028175,0.089820537817826868
39,0.093491430573254139,0.0931171770452282
8,0.095939551968320158,0.092537549957247736
73,0.094817459807908872,0.093956596903523773
94,0.098076805378166931,0.099925855585196316
23,0.096219523823398781,0.095927806972865945
97,0.088581560832531908,0.093639495321432481
55,0.092187326886695009,0.090882347293252272
41,0.099406737105502962,0.097528593490324778
78,0.092627326368134574,0.094281870909876858
32,0.097210234819655281,0.094820930461326489
85,0.093851736506454647,0.093567034742343236
33,0.090280802724962445,0.090605634919119285
77,0.095474853044985333,0.093924894631230924
66,0.099489469271614159,0.09530537623668843
7,0.090680475680475811,0.094375479839290358
42,0.09065322417819735,0.091923100204503061
52,0.0918813116986233,0.09221180927177508
24,0.089961269952315237,0.092081102063602344
79,0.093443175890354377,0.093676308582732973
34,0.088679260593266779,0.090829160538205347
51,0.088449144958271733,0.0883944236966157
37,0.096176004112165425,0.094371693120513384
16,0.096709095798755709,0.096112724654320789
4,0.09543866174128289,0.089103565791918249
81,0.092243422447899112,0.092303158186279113
29,0.093597557830955122,0.095134689797506139
76,0.090892329527601956,0.087212644144919041
91,0.089549159632017414,0.093824486275089339
99,0.090476246928388793,0.081742477806583377
36,0.0939977936993663,0.094525618724565538
6,0.096720653213615254,0.09438726378956426
69,0.094221743866054558,0.095391590026966164
31,0.090284423772524033,0.091419655650914311
26,0.094514884629124052,0.093871774336408711
45,0.091713458221985955,0.092706424442643681
84,0.089617222709789085,0.090744768549706978
44,0.0901935980100129,0.090040680691022376
20,0.089240261159293746,0.088123088470907121
2,0.086958536020384516,0.089988175709782264
28,0.094676698207119686,0.095892594000577563
27,0.087839734776307007,0.089303529021039121
17,0.093097904931687056,0.0926762805404923
40,0.08847388220845967,0.088568767638214418
57,0.095373589270224227,0.0954822657317186
53,0.090471162738856914,0.091267970915679911
60,0.096176364770444417,0.0977624879327778
49,0.09431661106359096,0.094264079472014192
56,0.088802067854842168,0.0899863417219572
63,0.091591977781156922,0.09173842796163037
70,0.092243023680222788,0.091950393497779823
3,0.10389001425463273,0.10063768198085658
12,0.090925165306619427,0.093253191833269841
9,0.0958744329099287,0.094725448550660174
11,0.093822435355435052,0.092044670396915357
50,0.09229946995753005,0.092455435159229216
47,0.089548614022701339,0.088808537603545512
83,0.089318909403380956,0.093166774658688362
98,0.099380871997369238,0.099432892249527421
75,0.094575074746560239,0.094820876766562465
87,0.090867182403412114,0.090686745284295336
54,0.093944379458123617,0.093557331231499466
25,0.0916534541092742,0.091600007207579187
89,0.092808602654546088,0.095169295572252607
64,0.091796396753880849,0.092684997270239183
82,0.086681258744802633,0.085993797434877353
62,0.094412952537770808,0.095321812427933944
96,0.10189860979836445,0.10701519439518421
67,0.09182176949516406,0.091503866718287918
1,0.11436541143654115,0.11317360418275148
