w,genre,1,2,3,4,5,6,7,8,9
10,Action,0.55,0.74,0.79,0.81,0.81,0.82,0.83,0.84,0.86
10,Adventure,0.26,0.26,0.28,0.28,0.31,0.41,0.42,0.5,0.63
10,Comedy,0.77,0.85,0.88,0.9,0.9,0.91,0.92,0.92,0.92
10,Drama,0.0,0.77,0.8,0.83,0.86,0.87,0.92,0.92,0.92
10,Thriller,0.74,0.81,0.83,0.91,0.91,0.91,0.91,0.91,0.92
