state,n,nA,nB,rewardA,rewardB,mn_rewardA,mn_rewardB
"[1, 1, 1, 0, 1, 1, 0, 0, 0, 1]",6386,2485,3901,224,359,0.09014084507042254,0.0920276852089208
"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1]",27887,7058,20829,710,2011,0.10059506942476622,0.09654808200105622
"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0]",8085,3304,4781,336,474,0.1016949152542373,0.09914243882033047
"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",4783,2273,2510,211,230,0.09282886053673559,0.09163346613545817
"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1]",6310,3052,3258,299,286,0.09796854521625163,0.08778391651319828
"[1, 0, 0, 1, 1, 1, 1, 0, 0, 1]",20450,4132,16318,418,1552,0.10116166505324298,0.09510969481554112
"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",5702,3239,2463,336,245,0.10373572090151281,0.09947218838814453
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",25967,19481,6486,1880,615,0.09650428622760639,0.09481961147086032
"[1, 1, 1, 0, 1, 1, 1, 0, 1, 0]",9809,3173,6636,342,670,0.10778443113772455,0.10096443640747438
"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0]",5573,3278,2295,304,220,0.09273947528981086,0.09586056644880174
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",4876,2300,2576,198,241,0.08608695652173913,0.09355590062111802
"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",11227,7167,4060,689,400,0.09613506348541928,0.09852216748768473
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",16721,11706,5015,1079,461,0.09217495301554758,0.09192422731804586
"[1, 1, 0, 1, 1, 1, 1, 0, 0, 1]",13813,4497,9316,439,923,0.09762063597954192,0.09907685702018033
"[1, 1, 1, 0, 0, 1, 0, 1, 1, 0]",6266,2399,3867,240,355,0.1000416840350146,0.09180243082492888
"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0]",6183,2541,3642,225,336,0.0885478158205431,0.09225700164744646
"[1, 0, 1, 0, 0, 0, 0, 0, 1, 1]",8486,4869,3617,493,317,0.10125282398849866,0.087641692009953
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1]",7727,4533,3194,448,312,0.09883079638208692,0.09768315591734503
"[1, 0, 1, 1, 0, 1, 0, 0, 1, 1]",6518,2661,3857,243,330,0.09131905298759865,0.0855587243971999
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",7877,3415,4462,328,441,0.09604685212298682,0.09883460331689825
"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]",6655,2675,3980,231,378,0.08635514018691588,0.0949748743718593
"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",16989,6078,10911,585,1040,0.096248766041461,0.0953166529190725
"[1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",9310,3671,5639,342,531,0.09316262598746936,0.09416563220429154
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",6686,3821,2865,383,287,0.10023554043444124,0.10017452006980802
"[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]",6277,3651,2626,346,260,0.09476855655984662,0.09900990099009901
"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0]",6385,3123,3262,318,305,0.10182516810758886,0.09350091968117719
"[1, 0, 0, 1, 0, 1, 1, 1, 0, 0]",5440,2570,2870,243,261,0.09455252918287937,0.09094076655052265
"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",4673,2422,2251,252,213,0.10404624277456648,0.09462461128387384
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",7413,4419,2994,435,313,0.09843856076035302,0.10454241816967268
"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1]",9270,4556,4714,464,448,0.10184372256365233,0.09503606279168435
"[0, 1, 0, 1, 1, 0, 1, 1, 0, 0]",5210,2610,2600,253,231,0.09693486590038314,0.08884615384615385
"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",7079,3444,3635,328,329,0.09523809523809523,0.09050894085281981
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",8790,4631,4159,430,382,0.09285251565536601,0.09184900216398173
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",30440,23324,7116,2279,707,0.0977105127765392,0.09935356942102305
"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",4764,2411,2353,223,235,0.09249274160099544,0.09987250318742032
"[1, 1, 1, 0, 1, 0, 0, 1, 0, 1]",5795,2357,3438,231,351,0.09800593975392448,0.10209424083769633
"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",9349,4047,5302,405,528,0.10007412898443291,0.0995850622406639
"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0]",6679,2713,3966,238,352,0.08772576483597494,0.08875441250630359
"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",7453,3561,3892,329,344,0.09238977815220444,0.08838643371017471
"[1, 0, 1, 0, 1, 0, 0, 0, 1, 1]",5472,2760,2712,269,252,0.09746376811594203,0.09292035398230089
"[0, 1, 1, 0, 1, 0, 0, 1, 1, 1]",7817,3724,4093,352,378,0.09452201933404941,0.09235279745907647
"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1]",6345,3316,3029,346,247,0.10434258142340169,0.0815450643776824
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",5850,3544,2306,315,249,0.08888261851015801,0.10797918473547267
"[1, 1, 1, 1, 0, 0, 1, 0, 1, 0]",6806,2782,4024,269,397,0.09669302659956866,0.09865805168986083
"[1, 0, 1, 0, 0, 1, 1, 1, 0, 1]",5550,2277,3273,197,335,0.08651734738691261,0.10235258172930034
"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]",5611,3080,2531,276,264,0.08961038961038961,0.10430659818253654
"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0]",10077,3337,6740,353,609,0.10578363799820198,0.09035608308605342
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",7842,3853,3989,344,355,0.08928107967817285,0.08899473552268738
"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1]",8608,4175,4433,393,419,0.0941317365269461,0.09451838484096549
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",78746,67545,11201,6493,1076,0.09612850692131172,0.0960628515311133
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",26706,20170,6536,1933,611,0.09583539910758553,0.09348225214198286
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",7085,4370,2715,424,243,0.09702517162471395,0.08950276243093923
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",27959,21390,6569,2138,635,0.09995324918186069,0.09666615923275994
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",28534,19448,9086,1879,803,0.0966166186754422,0.08837772397094432
"[0, 1, 1, 0, 0, 1, 1, 1, 0, 0]",6847,4044,2803,380,242,0.09396636993076163,0.08633606849803782
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",133598,111719,21879,10571,2048,0.09462132672150664,0.09360574066456419
"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",147100,24658,122442,2363,11472,0.09583096763727796,0.09369334052040966
"[1, 0, 1, 0, 1, 1, 0, 1, 1, 1]",11048,3698,7350,333,687,0.09004867495943754,0.09346938775510204
"[1, 0, 1, 1, 1, 1, 0, 1, 1, 1]",29118,7276,21842,701,2092,0.09634414513468939,0.09577877483746909
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",5936,3497,2439,326,249,0.09322276236774378,0.10209102091020911
"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",12226,8820,3406,841,317,0.0953514739229025,0.09307105108631826
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",16287,11050,5237,1068,480,0.09665158371040725,0.09165552797403094
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",22275,12773,9502,1229,901,0.09621858608001253,0.09482214270679856
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",33070,13885,19185,1329,1792,0.09571480014404034,0.09340630701068543
"[0, 1, 1, 0, 1, 0, 0, 0, 0, 1]",6475,3856,2619,369,238,0.09569502074688796,0.09087437953417335
"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1]",4683,2436,2247,233,196,0.09564860426929392,0.08722741433021806
"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",6881,3350,3531,312,341,0.09313432835820895,0.09657320872274143
"[0, 1, 1, 1, 1, 1, 0, 1, 0, 0]",6447,2975,3472,285,314,0.0957983193277311,0.09043778801843318
"[0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",6142,3130,3012,282,264,0.0900958466453674,0.08764940239043825
"[0, 1, 1, 1, 1, 0, 0, 1, 1, 1]",29611,18450,11161,1770,1048,0.0959349593495935,0.09389839620105725
"[1, 0, 1, 0, 1, 1, 1, 1, 0, 0]",7685,3148,4537,303,451,0.09625158831003812,0.09940489310116818
"[0, 1, 0, 1, 0, 1, 1, 1, 1, 0]",6287,2713,3574,271,370,0.0998894213048286,0.10352546166759932
"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1]",14015,3705,10310,326,967,0.08798920377867746,0.09379243452958293
"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",31430,12600,18830,1196,1783,0.09492063492063492,0.09468932554434413
"[1, 0, 1, 1, 1, 0, 1, 0, 1, 1]",10131,3358,6773,284,646,0.08457415128052412,0.09537870958216448
"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",4681,2216,2465,203,225,0.09160649819494585,0.09127789046653144
"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]",6201,3655,2546,296,225,0.08098495212038304,0.08837391987431265
"[0, 0, 1, 0, 1, 1, 1, 0, 0, 1]",5571,2792,2779,259,252,0.09276504297994269,0.0906801007556675
"[1, 0, 1, 0, 0, 0, 1, 0, 1, 0]",5251,3032,2219,285,196,0.09399736147757255,0.08832807570977919
"[1, 1, 0, 1, 0, 0, 0, 1, 1, 1]",8149,3369,4780,315,456,0.09349955476402494,0.09539748953974896
"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1]",12823,8303,4520,837,448,0.10080693725159581,0.09911504424778761
"[0, 1, 0, 1, 1, 0, 0, 0, 0, 1]",7382,4244,3138,409,311,0.09637134778510839,0.09910771191841937
"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",10749,3442,7307,323,707,0.09384079023823358,0.09675653482961544
"[1, 0, 1, 1, 1, 1, 0, 0, 0, 1]",6518,2678,3840,272,397,0.10156833457804332,0.10338541666666666
"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1]",13389,4309,9080,409,841,0.09491761429566024,0.09262114537444933
"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0]",13537,4343,9194,392,929,0.09026018880957863,0.10104415923428323
"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1]",7714,3121,4593,273,465,0.087471964114066,0.10124101894186806
"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",4605,2253,2352,220,226,0.09764758100310697,0.09608843537414966
"[0, 1, 1, 1, 0, 0, 0, 0, 0, 1]",7181,4386,2795,396,249,0.09028727770177838,0.089087656529517
"[0, 1, 1, 0, 1, 0, 0, 1, 0, 1]",4691,2484,2207,236,232,0.09500805152979067,0.10512007249660173
"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",8509,4791,3718,430,373,0.08975161761636402,0.10032275416890801
"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",4535,2338,2197,213,224,0.09110350727117195,0.10195721438324988
"[1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",6174,2294,3880,223,349,0.0972101133391456,0.08994845360824742
"[0, 1, 0, 0, 1, 1, 0, 1, 1, 1]",6852,3043,3809,269,357,0.08839960565231679,0.0937253872407456
"[1, 0, 1, 1, 0, 1, 1, 0, 1, 0]",5272,2203,3069,197,299,0.08942351339083068,0.09742587161942001
"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0]",6064,3666,2398,349,243,0.09519912711402073,0.10133444537114263
"[0, 1, 1, 0, 0, 1, 0, 0, 1, 1]",6623,3876,2747,394,259,0.10165118679050568,0.09428467419002548
"[0, 1, 1, 0, 0, 1, 0, 1, 1, 0]",5128,2807,2321,273,221,0.09725685785536159,0.0952175786299009
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",127817,102481,25336,9874,2372,0.09634956723685366,0.09362172402904957
"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",12315,7932,4383,802,389,0.1011094301563288,0.08875199634953228
"[1, 1, 1, 0, 0, 1, 1, 1, 1, 0]",25804,5112,20692,479,1948,0.09370109546165885,0.09414266383143244
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",7814,3780,4034,381,378,0.1007936507936508,0.09370352007932573
"[1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",6682,3235,3447,312,326,0.0964451313755796,0.09457499274731651
"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0]",4937,2311,2626,210,230,0.09086975335352661,0.08758568164508758
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",26764,20285,6479,1868,596,0.09208774956864678,0.09198950455317179
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",9929,6743,3186,671,310,0.09951060358890701,0.0973006905210295
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",9219,6194,3025,607,295,0.09799806264126575,0.09752066115702479
"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",26982,10404,16578,1013,1556,0.09736639753940791,0.09385933164434793
"[0, 0, 1, 0, 1, 1, 1, 0, 0, 0]",6828,4043,2785,403,285,0.09967845659163987,0.10233393177737882
"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",153959,27256,126703,2646,11816,0.09707954211916642,0.09325746036005461
"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",13695,4691,9004,455,862,0.09699424429759113,0.09573522878720568
"[1, 0, 1, 1, 0, 1, 1, 1, 1, 1]",31297,7830,23467,744,2147,0.0950191570881226,0.09149017769633955
"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",10372,3458,6914,329,665,0.0951417004048583,0.09618166039919004
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",7454,4287,3167,389,290,0.0907394448332167,0.09156930849384275
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",26131,10293,15838,1010,1472,0.09812493927912173,0.09294102790756409
"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",5945,3484,2461,328,236,0.09414466130884042,0.09589597724502234
"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",4873,2303,2570,212,228,0.09205384281372124,0.088715953307393
"[0, 0, 1, 0, 1, 1, 0, 0, 1, 1]",7038,3689,3349,343,300,0.09297912713472485,0.08957897879964169
"[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]",6254,3712,2542,385,251,0.10371767241379311,0.0987411487018096
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0]",8024,3406,4618,336,451,0.09864944216089254,0.09766132524902556
"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",9184,4994,4190,486,420,0.09731678013616339,0.10023866348448687
"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0]",6865,2776,4089,298,409,0.10734870317002881,0.1000244558571778
"[0, 1, 1, 0, 0, 1, 0, 1, 1, 1]",8226,4385,3841,402,350,0.09167616875712657,0.09112210361884926
"[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",29475,7411,22064,712,2035,0.09607340439886655,0.09223168963016679
"[1, 1, 1, 0, 1, 1, 1, 0, 0, 1]",12342,3939,8403,423,852,0.10738766184310738,0.10139235987147448
"[1, 1, 1, 1, 1, 1, 0, 1, 0, 1]",30380,7235,23145,673,2260,0.0930200414651002,0.0976452797580471
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",29456,22365,7091,2197,655,0.09823384752962218,0.09237061063319701
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",29025,21919,7106,2079,669,0.09484921757379443,0.09414579228820714
"[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]",9483,3190,6293,280,608,0.0877742946708464,0.09661528682663277
"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1]",10235,3363,6872,321,646,0.09545049063336307,0.0940046565774156
"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1]",5663,3303,2360,344,240,0.10414774447471996,0.1016949152542373
"[0, 0, 0, 1, 1, 1, 0, 0, 0, 1]",7319,4519,2800,414,265,0.09161318875857491,0.09464285714285714
"[0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",5932,3526,2406,345,246,0.09784458309699376,0.10224438902743142
"[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",15791,5222,10569,470,996,0.09000382995021065,0.09423786545557764
"[0, 1, 0, 1, 1, 1, 1, 1, 1, 0]",11487,4134,7353,393,699,0.09506531204644413,0.09506323949408405
"[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",9326,3024,6302,282,591,0.09325396825396826,0.09377975245953665
"[0, 0, 1, 1, 0, 0, 1, 1, 1, 0]",7747,3983,3764,367,344,0.09214160180768265,0.09139213602550478
"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]",7482,4326,3156,373,263,0.08622283865002311,0.08333333333333333
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",5779,3336,2443,330,278,0.09892086330935251,0.11379451494064674
"[0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",15814,5691,10123,566,962,0.09945528026708839,0.09503111725772992
"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]",6406,3850,2556,380,272,0.0987012987012987,0.10641627543035993
"[1, 1, 1, 1, 1, 0, 0, 0, 1, 0]",7493,2551,4942,235,460,0.09212073696589573,0.09307972480777013
"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0]",16741,11677,5064,1065,473,0.09120493277382889,0.0934044233807267
"[0, 1, 1, 1, 1, 0, 0, 0, 1, 0]",6056,3595,2461,344,255,0.0956884561891516,0.10361641609101992
"[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]",5666,2323,3343,203,289,0.08738699956952217,0.0864492970385881
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]",10128,6794,3334,626,275,0.09214012363850456,0.08248350329934014
"[0, 0, 1, 0, 1, 0, 0, 1, 1, 1]",7326,4064,3262,413,332,0.1016240157480315,0.10177805027590435
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",8243,4234,4009,411,375,0.09707132735002362,0.09353953604390122
"[1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",16567,5654,10913,551,1040,0.09745313052706049,0.09529918445890223
"[1, 0, 1, 0, 1, 1, 0, 0, 1, 1]",7806,3295,4511,318,433,0.09650986342943854,0.09598758590113057
"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",4844,2315,2529,230,241,0.09935205183585313,0.09529458283906682
"[0, 1, 1, 1, 0, 0, 1, 0, 0, 1]",5247,2785,2462,249,215,0.08940754039497308,0.08732737611697806
"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",5212,2686,2526,265,226,0.09865971705137751,0.0894695170229612
"[1, 1, 0, 1, 1, 0, 0, 1, 1, 0]",7400,3112,4288,285,391,0.09158097686375322,0.09118470149253731
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",10395,6977,3418,678,318,0.09717643686398166,0.0930368636629608
"[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]",8179,4213,3966,440,399,0.10443864229765012,0.10060514372163389
"[1, 0, 1, 0, 0, 1, 1, 1, 1, 0]",7189,3060,4129,306,419,0.1,0.10147735529183821
"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0]",5954,3588,2366,335,222,0.09336677814938685,0.09382924767540152
"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",6281,3737,2544,379,264,0.10141824993310142,0.10377358490566038
"[1, 1, 0, 0, 1, 0, 1, 0, 0, 1]",5300,2560,2740,251,269,0.098046875,0.09817518248175182
"[1, 1, 0, 1, 0, 0, 1, 0, 1, 0]",4552,2213,2339,199,228,0.08992318120198825,0.09747755451047456
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",6244,3226,3018,317,293,0.09826410415375078,0.09708416169648774
"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",6827,4141,2686,410,246,0.09900990099009901,0.09158600148920328
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",6653,3830,2823,359,276,0.09373368146214099,0.09776833156216791
"[0, 1, 0, 1, 0, 0, 1, 0, 1, 1]",5156,2694,2462,272,256,0.10096510764662213,0.10398050365556458
"[1, 0, 1, 0, 1, 1, 1, 1, 1, 0]",10455,3454,7001,323,624,0.09351476548928778,0.08913012426796171
"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",6149,2931,3218,285,315,0.09723643807574207,0.09788688626476072
"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",145973,24421,121552,2298,11406,0.09409934073133779,0.09383638278267738
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",8603,4942,3661,496,359,0.10036422501011737,0.09806063916962579
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",18895,12832,6063,1196,611,0.09320448877805486,0.10077519379844961
"[0, 1, 0, 1, 1, 1, 0, 1, 1, 0]",5598,2374,3224,226,303,0.09519797809604044,0.09398263027295285
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",27260,20540,6720,2014,624,0.09805258033106135,0.09285714285714286
"[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]",28738,16359,12379,1448,1135,0.08851396784644538,0.09168753534211165
"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",15367,10303,5064,966,472,0.0937590992914685,0.09320695102685624
"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]",7386,4641,2745,423,290,0.09114414996767937,0.10564663023679417
"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",147352,24225,123127,2278,11759,0.09403508771929825,0.09550301720987274
"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",90833,25679,65154,2435,6138,0.09482456481950231,0.09420756975780459
"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1]",78710,11437,67273,1110,6332,0.09705342310046342,0.09412394274077267
"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",78816,11381,67435,1072,6359,0.0941920745101485,0.0942982130940906
"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",78972,12038,66934,1138,6415,0.09453397574347898,0.09584067887770042
"[1, 1, 0, 1, 1, 0, 1, 0, 1, 1]",10420,3396,7024,329,678,0.09687868080094228,0.09652619589977221
"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",28213,6610,21603,641,1994,0.09697428139183056,0.09230199509327408
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",10290,6590,3700,616,363,0.09347496206373293,0.0981081081081081
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",33682,21181,12501,2035,1221,0.09607667248949531,0.09767218622510199
"[0, 1, 0, 1, 1, 0, 1, 1, 1, 0]",5489,2312,3177,234,275,0.10121107266435986,0.08655964746616304
"[1, 0, 0, 1, 1, 0, 1, 1, 1, 1]",14251,4036,10215,382,975,0.09464816650148662,0.09544787077826726
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",5227,2583,2644,246,263,0.09523809523809523,0.09947049924357035
"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0]",6355,3115,3240,284,309,0.09117174959871589,0.09537037037037037
"[0, 1, 1, 0, 1, 1, 0, 1, 1, 1]",11601,4600,7001,440,686,0.09565217391304348,0.09798600199971433
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",4943,2457,2486,262,242,0.10663410663410663,0.09734513274336283
"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1]",32226,7863,24363,771,2274,0.09805417779473484,0.09333825883511883
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]",10860,7560,3300,716,343,0.09470899470899471,0.10393939393939394
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",11228,7113,4115,694,414,0.09756783354421482,0.10060753341433779
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",11259,7684,3575,761,354,0.09903695991671005,0.09902097902097902
"[0, 1, 1, 1, 0, 1, 1, 0, 1, 1]",10539,3848,6691,340,646,0.08835758835758836,0.09654760125541773
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",13082,8363,4719,760,448,0.09087647973215353,0.0949353676626404
"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0]",5267,3008,2259,301,203,0.10006648936170212,0.08986277113767153
"[1, 1, 1, 0, 1, 1, 1, 1, 0, 0]",13862,4387,9475,415,884,0.0945976749487121,0.0932981530343008
"[0, 1, 1, 1, 1, 1, 1, 0, 0, 1]",26582,16070,10512,1529,951,0.09514623522090852,0.09046803652968037
"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",5449,3067,2382,304,204,0.09911966090642321,0.08564231738035265
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1]",31582,18679,12903,1793,1233,0.09599014936559773,0.095559172285515
"[1, 1, 0, 0, 1, 0, 1, 1, 0, 1]",5951,2416,3535,253,318,0.10471854304635761,0.08995756718528995
"[1, 1, 0, 1, 1, 1, 0, 1, 1, 0]",9741,3141,6600,306,631,0.09742120343839542,0.09560606060606061
