state,n,nA,nB,rewardA,rewardB,mn_rewardA,mn_rewardB
"[1, 1, 0, 0, 1, 1, 0, 0, 0, 1]",8290,4166,4124,401,392,0.09625540086413827,0.0950533462657614
"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",27974,16350,11624,1595,1073,0.09755351681957186,0.09230901582931865
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",10101,6953,3148,710,300,0.10211419531137639,0.09529860228716645
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",15515,10507,5008,1028,493,0.09783953554773009,0.09844249201277955
"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",11149,7078,4071,676,384,0.09550720542526138,0.09432571849668386
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",31639,23604,8035,2235,796,0.09468734112862227,0.09906658369632856
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",29583,20869,8714,2007,802,0.09617135464085486,0.09203580445260501
"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",85100,21101,63999,1945,6172,0.09217572626889721,0.09643900685948217
"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]",16808,11192,5616,1047,531,0.09354896354538957,0.09455128205128205
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",12400,8944,3456,880,335,0.09838998211091235,0.09693287037037036
"[1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",25197,5274,19923,493,1901,0.09347743648084945,0.09541735682377152
"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",5769,3376,2393,299,236,0.08856635071090048,0.09862097785206854
"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",5034,2591,2443,258,240,0.0995754534928599,0.09823986901350798
"[1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",5853,2446,3407,216,362,0.08830744071954211,0.10625183445846786
"[0, 1, 0, 1, 1, 0, 0, 1, 1, 0]",6271,3244,3027,313,268,0.09648581997533909,0.08853650479022133
"[1, 0, 1, 1, 1, 1, 1, 0, 1, 0]",9434,3151,6283,304,542,0.09647730879086004,0.08626452331688683
"[1, 0, 0, 0, 1, 1, 1, 1, 0, 1]",6191,2453,3738,231,364,0.09417040358744394,0.09737827715355805
